Borophagus, Borophagus dudleyi, 3.6, 5.333
Borophagus, Borophagus diversidens, 1.8, 4.9
Canidae, Canidae, 0, 8.7
Paratomarctus, Paratomarctus euthos, 10.3, 5.333
Dusicyon, Dusicyon sechurae, 0.0117, 0.781
Cerdocyon, Cerdocyon avius, 1.8, 5.333
Xenocyon, Xenocyon lycaonoides, 0.0117, 2.588
Chrysocyon, Chrysocyon nearcticus, 1.8, 4.9
Epicyon, Epicyon saevus, 10.3, 5.333
Otarocyon, Otarocyon macdonaldi, 33.3, 33.9
Hesperocyon, Hesperocyon coloradensis, 33.3, 33.9
Oxetocyon, Oxetocyon cuspidatus, 30.8, 33.3
Leptocyon, Leptocyon vafer, 10.3, 5.333
Tomarctus, Tomarctus hippophaga, 13.6, 5.333
Paraenhydrocyon, Paraenhydrocyon robustus, 20.43, 24.8
Leptocyon, Leptocyon douglassi, 20.43, 30.8
Vulpes, Vulpes velox, 0, 4.9
Cerdocyon, Cerdocyon thous, 0, 0.126
Epicyon, Epicyon, 10.3, 4.9
Cynarctoides, Cynarctoides acridens, 13.6, 30.8
Leptocyon, Leptocyon, 10.3, 5.333
Canis, Canis edwardii, 0.3, 5.333
Archaeocyon, Archaeocyon pavidus, 20.43, 33.3
Phlaocyon, Phlaocyon minor, 15.97, 30.8
Osbornodon, Osbornodon sesnoni, 20.43, 33.3
Vulpes, Vulpes vulpes macroura, 0.0117, 0.126
Otocyon, Otocyon megalotis, 0, 2.588
Protocyon, Protocyon troglodytes, 0, 2.588
Aelurodon, Aelurodon, 10.3, 5.333
Borophaginae, Borophaginae, 10.3, 5.333
Vulpes, Vulpes kernensis, 10.3, 13.6
Carpocyon, Carpocyon limosus, 10.3, 4.9
Cynarctus, Cynarctus galushai, 13.6, 15.97
Phlaocyon, Phlaocyon yatkolai, 15.97, 20.43
Otarocyon, Otarocyon cooki, 20.43, 30.8
Aelurodon, Aelurodon stirtoni, 10.3, 5.333
Xenocyon, Xenocyon, 0.0117, 2.588
Enhydrocyon, Enhydrocyon crassidens, 20.43, 30.8
Osbornodon, Osbornodon brachypus, 15.97, 24.8
Cynodictis, Cynodictis lacustris, 33.9, 38
Vulpes, Vulpes cascadensis, 0.0117, 0.126
Enhydrocyon, Enhydrocyon stenocephalus, 20.43, 30.8
Cynarctoides, Cynarctoides roii, 20.43, 30.8
Canis, Canis lepophagus, 0.0117, 4.9
Cuon, Cuon alpinus, 0.0117, 2.588
Ectopocynus, Ectopocynus intermedius, 20.43, 30.8
Vulpes, Vulpes stenognathus, 0.3, 4.9
Oxetocyon, Oxetocyon, 30.8, 33.3
Urocyon, Urocyon webbi, 10.3, 4.9
Ectopocynus, Ectopocynus antiquus, 20.43, 33.3
Canis, Canis proplatensis, 0.781, 2.588
Epicyon, Epicyon haydeni, 10.3, 5.333
Canis, Canis armbrusteri, 0.0117, 4.9
Cynodesmus, Cynodesmus thooides, 20.43, 33.3
Pseudalopex, Pseudalopex gymnocercus, 0, 2.588
Archaeocyon, Archaeocyon falkenbachi, 20.43, 30.8
Canis, Canis thooides, 1.8, 4.9
Aelurodon, Aelurodon ferox, 10.3, 5.333
Urocyon, Urocyon progressus, 1.8, 4.9
Osbornodon, Osbornodon wangi, 20.43, 30.8
Cynodictis, Cynodictis, 28.1, 55.8
Phlaocyon, Phlaocyon annectens, 20.43, 24.8
Nyctereutes, Nyctereutes abdeslami, 2.588, 3.6
Caninae, Caninae, 0.0117, 5.333
Paraenhydrocyon, Paraenhydrocyon josephi, 20.43, 30.8
Rhizocyon, Rhizocyon oregonensis, 20.43, 30.8
Leptocyon, Leptocyon matthewi, 10.3, 4.9
Borophagus, Borophagus secundus, 10.3, 5.333
Alopex, Alopex, 0.0117, 5.333
Mesocyon, Mesocyon, 20.43, 30.8
Borophagus, Borophagus pugnator, 10.3, 5.333
Mesocyon, Mesocyon temnodon, 20.43, 33.9
Hesperocyon, Hesperocyon, 20.43, 46.2
Phlaocyon, Phlaocyon multicuspus, 20.43, 24.8
Vulpes, Vulpes, 0, 8.7
Gobicyon, Gobicyon, 11.62, 5.333
