Euoplocyon, Euoplocyon brachygnathus, 13.6, 20.43
Euoplocyon, Euoplocyon spissidens, 15.97, 20.43
Gobicyon, Gobicyon, 11.62, 5.333
Hesperocyon, Hesperocyon, 20.43, 46.2
Hesperocyon, Hesperocyon coloradensis, 33.3, 33.9
Hesperocyon, Hesperocyon gregarius, 30.8, 40.4
Hesperocyoninae, Hesperocyoninae, 20.43, 30.8
Leptocyon, Leptocyon, 10.3, 5.333
Leptocyon, Leptocyon delicatus, 20.43, 30.8
Leptocyon, Leptocyon douglassi, 20.43, 30.8
Leptocyon, Leptocyon gregorii, 20.43, 24.8
Leptocyon, Leptocyon leidyi, 13.6, 24.8
Leptocyon, Leptocyon matthewi, 10.3, 4.9
Leptocyon, Leptocyon mollis, 20.43, 30.8
Leptocyon, Leptocyon tejonensis, 10.3, 13.6
Leptocyon, Leptocyon vafer, 10.3, 5.333
Leptocyon, Leptocyon vulpinus, 15.97, 30.8
Lycaon, Lycaon, 0.0117, 5.333
Lycaon, Lycaon pictus, 0, 2.588
Mesocyon, Mesocyon, 20.43, 30.8
Mesocyon, Mesocyon brachyops, 20.43, 30.8
Mesocyon, Mesocyon coryphaeus, 20.43, 30.8
Mesocyon, Mesocyon temnodon, 20.43, 33.9
Metalopex, Metalopex bakeri, 10.3, 4.9
Metalopex, Metalopex macconnelli, 10.3, 5.333
Metalopex, Metalopex merriami, 10.3, 5.333
Metatomarctus, Metatomarctus, 23.03, 5.333
Metatomarctus, Metatomarctus canavus, 15.97, 5.333
Microtomarctus, Microtomarctus conferta, 13.6, 5.333
Neovulpavus, Neovulpavus washakius, 40.4, 46.2
Nyctereutes, Nyctereutes, 0.0117, 8.7
Nyctereutes, Nyctereutes abdeslami, 2.588, 3.6
Nyctereutes, Nyctereutes procyonoides, 0, 2.588
Osbornodon, Osbornodon brachypus, 15.97, 24.8
Osbornodon, Osbornodon fricki, 13.6, 20.43
Osbornodon, Osbornodon iamonensis, 15.97, 23.03
Osbornodon, Osbornodon renjiei, 30.8, 33.9
Osbornodon, Osbornodon scitulus, 15.97, 20.43
Osbornodon, Osbornodon sesnoni, 20.43, 33.3
Osbornodon, Osbornodon wangi, 20.43, 30.8
Otarocyon, Otarocyon cooki, 20.43, 30.8
Otarocyon, Otarocyon macdonaldi, 33.3, 33.9
